,ID,Class
0,1,1
1,4,1
2,5,2
3,37,1
4,2,2
5,15,2
6,25,1
7,51,1
8,3,1
9,9,2
10,16,2
11,36,2
12,10,2
13,14,2
14,23,2
15,46,1
16,49,2
17,6,1
18,24,2
19,7,2
20,11,2
21,41,2
22,50,1
23,28,2
24,12,1
25,44,1
26,13,1
27,17,1
28,19,2
29,18,1
30,38,1
31,39,1
32,21,1
33,22,2
34,26,2
35,27,2
36,33,1
37,29,2
38,30,1
39,31,1
40,32,2
41,35,1
42,45,1
43,47,2
44,42,2
45,43,2
46,52,1
47,53,1
